map_h,map_w,risk1,risk2,risk3
0,4,0.5,0,0
0,5,0.5,0,0
0,6,0.5,0,0
0,22,1,0,0
0,36,0.5,0.25,0
0,47,0.750048,0.25,0.147456
0,65,0.469822,0.25,0.726213
0,66,0.432079,0.25,0.625305
0,67,0.41114,0.25,0.526117
0,68,0.432909,0.25,0.500171
1,5,0.500053,0,0
1,6,0.500132,0,0
1,22,1,0,0
1,36,0.5,0.25,0
1,47,0.754633,0.25,0.0701049
1,65,0.379919,0.250003,0.666904
1,66,0.315983,0.250007,0.565645
1,67,0.313004,0.250013,0.509154
1,68,0.322202,0.250058,0.498865
2,5,0.518369,0,0
2,6,0.519878,0,0
2,7,0.511358,0,0
2,22,1,0,0
2,36,0.499577,0.25,0
2,47,0.78533,0.250094,0.021485
2,65,0.28112,0.251383,0.599557
2,66,0.246377,0.251552,0.538132
2,67,0.230966,0.255279,0.506587
2,68,0.233805,0.260024,0.496533
3,6,0.589365,0,0
3,7,0.588023,0,0
3,8,0.558529,0,0
3,21,1,0,0
3,22,0.999413,0,0
3,36,0.424348,0.25,0
3,47,0.850965,0.281817,9.89863e-05
3,66,0.192191,0.269442,0.562801
3,67,0.171735,0.289551,0.525
3,68,0.158123,0.316938,0.492139
4,6,0.717237,0,0
4,7,0.703453,0,0
4,8,0.716018,0,0
4,21,0.999973,0,0
4,22,0.988356,0,0
4,36,0.28578,0.25008,0
4,47,0.96111,0.39821,2.68102e-06
4,66,0.0656616,0.403559,0.699212
4,67,0.0663661,0.418573,0.57994
4,68,0.04091,0.474425,0.461688
5,7,0.74974,0,0
5,8,0.749933,0,0
5,23,0.825018,0,0
5,24,0.754305,0,0
5,25,0.75001,0,0
5,26,0.75,0.000125479,0
5,27,0.75,0.054418,0
5,28,0.75,0.219902,0
5,29,0.75,0.272387,0
5,30,0.75,0.335382,0
5,31,0.749968,0.37038,0
5,32,0.737683,0.430175,0
5,33,0.350096,0.300669,0
5,34,0.250079,0.258721,0
5,35,0.250039,0.266111,0
5,36,0.25023,0.266476,0
5,48,0.999911,0.538717,7.14146e-05
5,66,0.0617883,0.605817,0.845869
5,67,0.0349525,0.596014,0.657741
5,68,0.051832,0.589776,0.479268
5,69,0.0686586,0.578635,0.398264
6,7,0.75,0,0
6,8,0.75,0,0
6,31,0.749992,0.393806,0
6,32,0.744542,0.467888,0
6,33,0.469223,0.387272,0
6,34,0.250482,0.307975,0
6,35,0.250259,0.311001,0
6,36,0.250435,0.312622,0
6,37,0.306613,0.356176,0
6,38,0.466132,0.474935,0
6,39,0.499916,0.499938,0
6,40,0.5,0.5,0
6,48,0.999138,0.648642,0.00111727
6,66,0.174945,0.714237,0.909418
6,67,0.139432,0.686515,0.711936
6,68,0.149332,0.628363,0.524178
6,69,0.157313,0.589838,0.441244
7,7,0.75,0,0
7,8,0.749252,0,0
7,9,0.729785,0,0
7,35,0.329957,0.511239,0
7,36,0.327221,0.509773,0
7,41,0.5,0.5,0
7,42,0.499717,0.499853,0.000282602
7,43,0.448638,0.473297,0.0513963
7,44,0.317026,0.405924,0.189668
7,45,0.279505,0.389397,0.248453
7,46,0.625236,0.561191,0.13011
7,47,0.935649,0.700752,0.0239735
7,48,0.997751,0.734921,0.00282816
7,49,0.999989,0.789053,0.0222477
7,50,1,0.880773,0.131188
7,51,1,0.981422,0.470534
7,52,0.999883,0.996454,0.680963
7,53,0.980951,0.996808,0.796255
7,54,0.94207,0.98996,0.817332
7,55,0.85591,0.90714,0.811479
