step,x,y
0,68,0
1,68,1
2,67,2
3,68,3
4,68,4
5,69,5
6,69,6
7,69,7
8,69,8
9,68,9
10,67,10
11,68,11
12,68,12
13,67,13
14,66,14
15,66,15
16,66,16
17,67,16
18,68,17
19,68,18
20,68,19
21,68,19
22,69,20
23,68,21
24,69,22
25,70,23
26,70,23
27,69,24
28,68,25
29,69,24
30,68,25
31,69,26
32,69,27
33,68,27
34,69,28
35,69,29
36,69,30
37,68,31
38,68,32
39,69,33
40,70,34
41,70,35
42,69,36
43,70,37
44,70,38
45,71,39
46,70,40
47,70,41
48,71,40
49,72,41
50,73,42
51,74,43
52,74,44
53,74,45
54,74,45
55,75,46
56,76,47
57,77,48
58,77,49
59,77,50
60,77,51
61,76,52
62,77,52
63,76,53
64,77,54
65,78,54
66,79,55
67,80,55
68,81,56
69,81,57
70,82,58
71,83,59
72,82,60
73,82,61
74,83,62
75,84,63
76,84,64
77,85,65
78,86,66
79,87,67
80,86,67
81,86,68
82,87,69
83,87,70
84,86,71
85,85,71
86,84,72
87,83,73
88,82,74
89,82,75
90,81,76
91,81,77
