step,x,y
0,68,0
1,67,1
2,66,2
3,67,2
4,67,3
5,66,3
6,66,2
7,67,3
8,66,2
9,65,2
10,66,3
11,67,2
12,67,1
13,66,1
14,66,2
15,66,1
16,66,2
17,66,3
18,66,4
19,67,3
20,66,2
21,67,2
22,66,1
23,66,2
24,67,2
25,68,3
26,67,3
27,68,4
28,68,3
29,68,4
30,67,4
31,66,3
32,67,3
33,68,3
34,68,2
35,67,1
36,68,0
37,68,1
38,67,2
39,68,3
40,67,2
41,68,1
42,67,2
43,68,3
44,67,2
45,68,1
46,68,0
47,68,1
48,67,2
49,68,3
50,68,2
51,68,1
52,67,0
53,68,0
54,67,0
55,66,1
56,66,0
57,67,0
58,68,0
59,68,1
60,67,1
61,68,0
62,67,1
63,67,0
64,66,1
65,66,0
66,67,0
67,68,1
68,68,0
69,67,0
70,68,0
71,68,1
72,68,0
73,67,0
74,66,0
75,67,0
76,66,1
77,66,0
78,66,1
79,66,0
80,67,1
81,68,0
82,67,1
83,66,1
84,66,2
85,65,2
86,65,1
87,65,0
88,66,1
89,67,1
90,67,0
91,67,1
92,66,1
93,67,0
94,67,1
95,68,2
96,68,3
97,68,4
98,67,3
99,68,3
100,67,3
101,66,3
102,66,2
103,67,3
104,67,4
105,66,5
106,67,5
107,66,6
108,65,7
109,64,7
110,65,7
111,66,7
112,66,6
113,65,7
114,64,7
115,63,7
116,64,7
117,65,7
118,64,7
119,65,7
120,66,8
121,66,9
122,67,9
123,66,8
124,65,7
125,66,8
126,67,8
127,67,7
128,66,8
129,67,8
130,66,8
131,66,9
132,67,9
133,66,10
134,66,11
135,66,10
136,67,11
137,67,12
138,68,13
139,67,13
140,68,13
141,69,14
142,70,15
143,69,15
144,70,15
145,69,14
146,68,14
147,68,13
148,69,12
149,68,12
150,67,12
151,68,13
152,67,14
153,66,14
154,66,15
155,67,15
156,66,16
157,67,17
158,66,16
159,67,16
160,68,16
161,69,17
162,69,16
163,70,17
164,70,18
165,70,19
166,70,20
167,70,19
168,69,18
169,70,19
170,69,19
171,68,19
172,67,19
173,67,18
174,67,19
175,67,20
176,68,19
177,69,18
178,70,18
179,69,19
180,68,20
181,69,21
182,70,22
183,69,23
184,68,22
185,68,23
186,69,22
187,69,23
188,69,24
189,68,23
190,67,24
191,68,24
192,69,25
193,70,25
194,69,24
195,69,23
196,68,24
197,69,24
198,69,25
199,70,25
200,69,25
201,70,26
202,69,27
203,68,28
204,68,29
205,69,29
206,68,29
207,69,29
208,68,29
209,69,29
210,70,28
211,69,29
212,70,30
213,70,31
214,69,30
215,70,29
216,70,30
217,70,31
218,69,32
219,70,31
220,69,30
221,68,30
222,69,30
223,68,29
224,69,29
225,68,28
226,68,29
227,69,30
228,70,31
229,69,32
230,68,31
231,69,30
232,70,31
233,70,30
234,70,31
235,71,32
236,71,33
237,71,34
238,70,34
239,70,35
240,71,35
241,70,36
242,71,36
243,70,37
244,69,37
245,70,38
246,71,37
247,72,36
248,72,37
249,72,38
250,71,38
251,72,38
252,73,39
253,72,38
254,73,39
255,74,40
256,73,39
257,72,40
